Index,Type,Title,Director,Cast,Country,Release Date,Year,Rating,Duration,Genre,Description
117,Movie,Anjaam,Rahul Rawail,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand, Johny Lever, Kalpana Iyer, Himani Shivpuri, Sudha Chandran, Beena, Kiran Kumar",India,2021-09-02,1994.0,TV-14,143 min,"Dramas, International Movies, Thrillers","A wealthy industrialistâ€™s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
118,Movie,Bright Star,Jane Campion,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin","United Kingdom, Australia, France",2021-09-02,2009.0,PG,119 min,"Dramas, Romantic Movies",This drama details the passionate three-year romance between Romantic poet John Keats â€“ who died tragically at age 25 â€“ and his great love and muse.
119,Movie,Dhanak,Nagesh Kukunoor,"Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat",India,2021-09-02,2015.0,TV-PG,114 min,"Comedies, Dramas, Independent Movies",A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
120,Movie,Final Account,Luke Holland,nan,"United Kingdom, United States",2021-09-02,2021.0,PG-13,94 min,Documentaries,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
121,Movie,Gurgaon,Shanker Raman,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma",India,2021-09-02,2017.0,TV-14,106 min,"Dramas, International Movies, Thrillers","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems â€“ and plans â€“ of his own."
122,Movie,Here and There,JP Habac,"Janine Gutierrez, JC Santos, Victor Anastacio, Yesh Burce, Lotlot De Leon",nan,2021-09-02,2020.0,TV-MA,99 min,"Dramas, International Movies, Romantic Movies","After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."
123,TV Show,Heroes of Goo Jit Zu,nan,"Jon Allen, Kellen Goff, Joe Hernandez, Kaiji Tang",Australia,2021-09-02,2021.0,TV-Y7,1 Season,"Kids' TV, TV Comedies","After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers."
124,TV Show,Hotel Del Luna,nan,"Lee Ji-eun, Yeo Jin-goo, Shin Jung-geun, Seo Yi-sook, Bae Hae-sun, Pyo Ji-hoon, Cho Hyun-chul, Kang Hong-suk, Lee Do-hyun, Lee Tae-seon, Kang Mina, Park You-na, Oh Ji-ho",nan,2021-09-02,2019.0,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world."
125,Movie,In the Cut,Jane Campion,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh, Nick Damici, Sharrieff Pugh, Kevin Bacon, Yaani King Mondschein, Heather Litteer","United Kingdom, Australia, France, United States",2021-09-02,2003.0,R,118 min,Thrillers,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
126,TV Show,Pororo - The Little Penguin,nan,nan,South Korea,2021-09-02,2013.0,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows","On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur."
127,TV Show,Q-Force,nan,"Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers",United States,2021-09-02,2021.0,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies","A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywoodâ€¦ tomorrow, the world!"
128,Movie,Shikara,Vidhu Vinod Chopra,"Aadil Khan, Sadia Khateeb, Zain Khan Durrani, Priyanshu Chatterjee, Bhavna Chauhan, Ashwin Dhar, Farid Azad Khan, Saghar Sehrai",India,2021-09-02,2020.0,TV-14,115 min,"Dramas, International Movies, Romantic Movies",A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
129,Movie,A Cinderella Story,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","United States, Canada",2021-09-01,2004.0,PG,95 min,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
130,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,"Glenn Close, Terence Stamp, Max Irons, Gillian Anderson, Christina Hendricks, Stefanie Martini, Julian Sands, Honor Kneafsey, Christian McKay, Amanda Abbington",nan,2021-09-01,2017.0,PG-13,115 min,"Dramas, International Movies, Thrillers","When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family."
131,Movie,An Unfinished Life,Lasse HallstrÃ¶m,"Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Damian Lewis, Camryn Manheim, Becca Gardner, Lynda Boyd, Rob Hayter, P. Lynn Johnson","Germany, United States",2021-09-01,2005.0,PG-13,108 min,Dramas,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
132,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,"America Young, Amber May, Giselle Fernandez, Alejandro Saab, Dinora Walcott",nan,2021-09-01,2021.0,TV-Y,63 min,"Children & Family Movies, Music & Musicals","At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends."
133,Movie,Blade Runner: The Final Cut,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull",United States,2021-09-01,1982.0,R,117 min,"Action & Adventure, Classic Movies, Cult Movies","In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
134,TV Show,Brave Animated Series,nan,"Tseng Yun-fan, Kao Yun-shuo, Chiang Ching-yen, Meng Ching-fu, Huang Bai-wei, Ma Kuo-yao, Chen Yen-chun, Sun Ke-fang, Kai Yang-niu, Chen Yu-wen, Nick Liao, Lin Kai-ling, Mickey Huang, Liu Kuan-ting, Jiang Du-hui",nan,2021-09-01,2021.0,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",A group of superheroes sets out to rid the world of evil â€” only to realize they may not be standing on the side of justice. Based on a popular comic.
135,Movie,Chappie,Neill Blomkamp,"Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede","South Africa, United States",2021-09-01,2015.0,R,121 min,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
136,Movie,Clear and Present Danger,Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Dean Jones, Thora Birch, James Earl Jones, Raymond Cruz","United States, Mexico",2021-09-01,1994.0,PG-13,142 min,"Action & Adventure, Dramas","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
137,Movie,Cliffhanger,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn, Caroline Goodall, Leon, Craig Fairbrass, Ralph Waite, Max Perlich, Paul Winfield","United States, Italy, France, Japan",2021-09-01,1993.0,R,113 min,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
138,Movie,Cold Mountain,Anthony Minghella,"Jude Law, Nicole Kidman, RenÃ©e Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone","United States, Italy, Romania, United Kingdom",2021-09-01,2003.0,R,154 min,"Dramas, Romantic Movies","This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
139,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson","Australia, United States",2021-09-01,2001.0,PG,95 min,"Action & Adventure, Comedies","When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
140,Movie,Dear John,Lasse HallstrÃ¶m,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter",United States,2021-09-01,2010.0,PG-13,108 min,"Dramas, Romantic Movies","While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
141,Movie,Do the Right Thing,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval",United States,2021-09-01,1989.0,R,120 min,"Classic Movies, Comedies, Dramas","On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
142,Movie,"El patrÃ³n, radiografÃ­a de un crimen",SebastiÃ¡n Schindel,"JoaquÃ­n Furriel, Luis Ziembrowski, Guillermo Pfening, MÃ³nica Lairana, GermÃ¡n de Silva, Victoria Raposo, Andrea Garrote","Argentina, Venezuela",2021-09-01,2014.0,TV-MA,100 min,"Dramas, International Movies, Thrillers",A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
143,Movie,Extraction,Steven C. Miller,"Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney, Joshua Mikel, Steve Coulter, Dan Bilzerian, Heather Johansen","United States, United Kingdom, Canada",2021-09-01,2015.0,R,82 min,Action & Adventure,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
144,Movie,Freedom Writers,Richard LaGravenese,"Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith","Germany, United States",2021-09-01,2007.0,PG-13,124 min,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
145,Movie,Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",United States,2021-09-01,2011.0,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
146,Movie,House Party,Reginald Hudlin,"Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges",United States,2021-09-01,1990.0,R,104 min,"Comedies, Cult Movies","Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
147,Movie,House Party 2,"George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou, Paul Anthony, B-Fine, Tisha Campbell, Kamron, Iman, Queen Latifah",United States,2021-09-01,1991.0,R,94 min,"Comedies, Cult Movies, Music & Musicals","Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
148,Movie,House Party 3,Eric Meza,"Christopher Reid, Christopher Martin, Tisha Campbell, David Edwards, Angela Means, Ketty Lester, Bernie Mac, Michael Colyar, Chris Tucker, Khandi Alexander",United States,2021-09-01,1994.0,R,94 min,"Comedies, Music & Musicals","After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
149,TV Show,How to Be a Cowboy,nan,nan,nan,2021-09-01,2021.0,TV-PG,1 Season,Reality TV,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive â€” and now he's teaching the world how to cowboy right, ol' son."
150,TV Show,HQ Barbers,Gerhard Mostert,"Hakeem Kae-Kazim, Chioma Omeruah, Orukotan Adejola, Flora Chiedo, Emeka Nwagbaraocha, Anthony Oseyemi, Oluwabukola Thomas, Soibifaa Dokubo",nan,2021-09-01,2020.0,TV-14,1 Season,TV Shows,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business."
151,Movie,I Got the Hook Up,Michael Martin,"Master P, Anthony Johnson, Gretchen Palmer, Frantz Turner, Richard Keats, Joe Estevez, William Knight, Anthony Boswell, Tommy 'Tiny' Lister, Helen Martin, John Witherspoon, Mia X",United States,2021-09-01,1998.0,R,93 min,"Action & Adventure, Comedies","After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
152,Movie,In Too Deep,Michael Rymer,"Omar Epps, LL Cool J, Nia Long, Stanley Tucci, Pam Grier, Hill Harper, Jake Weber, David Patrick Kelly, Veronica Webb, Ron Canada, Robert LaSardo, Gano Grills, Ivonne Coll, Don Harvey, Mya, Nasir 'Nas' Jones, Jermaine Dupri",United States,2021-09-01,1999.0,R,97 min,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
153,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak","Jay Chou, Anne Suzuki, Edison Chen, Anthony Wong Chau-sang, Shawn Yue, Chapman To, Jordan Chan, Kenny Bee","China, Hong Kong",2021-09-01,2005.0,TV-14,109 min,"Action & Adventure, International Movies","By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
154,Movie,Janoskians: Untold and Untrue,Brett Weiner,"Jai Brooks, Luke Brooks, James Yammouni, Daniel Sahyounie, Beau Brooks",United States,2021-09-01,2016.0,TV-MA,88 min,Comedies,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
155,TV Show,Kid-E-Cats,nan,"Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder",Russia,2021-09-01,2016.0,TV-Y,2 Seasons,Kids' TV,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning."
156,TV Show,Kuroko's Basketball,nan,"Kensho Ono, Yuki Ono, Chiwa Saito, Yoshimasa Hosoya, Hirofumi Nojima, Kenji Hamada, Takuya Eguchi, Soichiro Hoshi, Tatsuhisa Suzuki, Go Inoue, Daisuke Ono, Ryohei Kimura, Junichi Suwabe, Kazuya Nakai, Fumiko Orikasa, Kenichi Suzumura, Kisho Taniyama, Hiroshi Kamiya",Japan,2021-09-01,2015.0,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows","Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory."
157,Movie,Labyrinth,Jim Henson,"David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser","United Kingdom, United States",2021-09-01,1986.0,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies","In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
158,Movie,Letters to Juliet,Gary Winick,"Amanda Seyfried, Christopher Egan, Gael GarcÃ­a Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan",United States,2021-09-01,2010.0,PG,105 min,"Comedies, Dramas, Romantic Movies","By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
159,Movie,Level 16,Danishka Esterhazy,"Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan, Amalia Williamson, Josette Halpert, Kiana Madeira",Canada,2021-09-01,2018.0,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers","In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
160,Movie,Love Don't Cost a Thing,Troy Byer,"Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman",United States,2021-09-01,2003.0,PG-13,101 min,"Comedies, Romantic Movies",A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
161,Movie,Love in a Puff,Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Singh Hartihan Bitto, Isabel Chan, Cheung Tat-ming, Matt Chow, Chui Tien-you, Queenie Chu, Charmaine Fong, Vincent Kok",Hong Kong,2021-09-01,2010.0,TV-MA,103 min,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
162,TV Show,Major Dad,nan,"Gerald McRaney, Shanna Reed, Nicole Dubuc, Chelsea Hertford, Marisa Ryan, Matt Mulhern, Beverly Archer, Jon Cypher",United States,2021-09-01,1992.0,TV-PG,4 Seasons,TV Comedies,"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command."
163,Movie,Mars Attacks!,Tim Burton,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones, Lukas Haas, Natalie Portman",United States,2021-09-01,1996.0,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy","As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
164,Movie,Marshall,Reginald Hudlin,"Chadwick Boseman, Josh Gad, Kate Hudson, Sterling K. Brown, Dan Stevens, James Cromwell, Keesha Sharp, Roger Guenveur Smith, Derrick Baskin, Barrett Doss","United States, China, Hong Kong",2021-09-01,2017.0,PG-13,118 min,Dramas,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
165,Movie,My Boss's Daughter,David Zucker,"Ashton Kutcher, Tara Reid, Jeffrey Tambor, Andy Richter, Michael Madsen, Jon Abrahams, David Koechner, Carmen Electra, Kenan Thompson, Terence Stamp, Molly Shannon",United States,2021-09-01,2003.0,R,86 min,"Comedies, Romantic Movies","A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush."
166,Movie,Mystery Men,Kinka Usher,"Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits",United States,2021-09-01,1999.0,PG-13,121 min,"Action & Adventure, Comedies",A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
167,TV Show,Oldsters,nan,"Patricio Contreras, Alejandro Goic, Sergio HernÃ¡ndez, Mariana Loyola Ruz, Alejandro Trejo, Daniel AlcaÃ­no Cuevas, NicolÃ¡s Poblete, Susana Hidalgo, Gloria MÃ¼nchmeyer",nan,2021-09-01,2019.0,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.
168,Movie,Once Upon a Time in America,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden","Italy, United States",2021-09-01,1984.0,R,229 min,"Classic Movies, Dramas",Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
169,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman","Joel McHale, Mike Epps, Jane Krakowski, Billy Connolly, Crispin Glover, Steve Schirripa, Georgia Engel, Diedrich Bader, Cody Cameron, Fred Stoller, Olivia Hack","United States, Canada",2021-09-01,2008.0,PG,76 min,"Children & Family Movies, Comedies",Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
170,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly","Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein",United States,2021-09-01,2001.0,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
171,Movie,Poseidon,Wolfgang Petersen,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, MÃ­a Maestro, Mike Vogel, Kevin Dillon, Freddy RodrÃ­guez",United States,2021-09-01,2006.0,PG-13,98 min,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
172,Movie,Rhyme & Reason,Peter Spirer,"Too $hort, B-Real, Kurtis Blow, Da Brat, Grandmaster Caz, Sean ""P. Diddy"" Combs, Chuck D., Desiree Densiti, Dr. Dre, E-40, MC Eiht, Heavy D, Lauryn Hill, Ice-T, Wyclef Jean, Ras Kass, KRS-One, L.V., Mack 10, Craig Mack, Method Man, Keith Murray, Nasir 'Nas' Jones, The Notorious B.I.G., Master P, Q-Tip, Raekwon, Redman, Senen Reyes, Busta Rhymes, RZA, DJ Scratch, Erick Sermon, Tupac Shakur, Adario Strange, Suave",United States,2021-09-01,1997.0,R,89 min,"Documentaries, Music & Musicals","The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
173,Movie,Same Kind of Different as Me,Michael Carney,"Greg Kinnear, RenÃ©e Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt",United States,2021-09-01,2017.0,PG-13,120 min,"Dramas, Faith & Spirituality",A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.
174,Movie,School of Rock,Richard Linklater,"Jack Black, Joan Cusack, Mike White, Sarah Silverman, Lee Wilkof, Kate McGregor-Stewart, Adam Pascal, Suzzanne Douglas, Miranda Cosgrove, Kevin Alexander Clark, Joey Gaydos Jr., Robert Tsai, Veronica Afflerbach, Jordan-Claire Green","United States, Germany",2021-09-01,2003.0,PG-13,110 min,"Comedies, Music & Musicals","Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
175,Movie,Snervous Tyler Oakley,Amy Rice,Tyler Oakley,United States,2021-09-01,2015.0,PG-13,83 min,"Documentaries, LGBTQ Movies","The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour."
176,Movie,Tears of the Sun,Antoine Fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie",United States,2021-09-01,2003.0,R,121 min,"Action & Adventure, Dramas","A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care."
177,Movie,The Blue Lagoon,Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Alan Hopgood, Gus Mercurio",United States,2021-09-01,1980.0,R,105 min,"Dramas, Romantic Movies","Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise."
178,Movie,The Golden Child,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee",United States,2021-09-01,1986.0,PG-13,94 min,"Action & Adventure, Comedies",A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.
179,Movie,The Guns of Navarone,J. Lee Thompson,"Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle, James Darren, Irene Papas, Gia Scala, James Robertson Justice, Richard Harris","United Kingdom, United States",2021-09-01,1961.0,TV-14,156 min,"Action & Adventure, Classic Movies","During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel."
180,Movie,The Interview,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi",United States,2021-09-01,2014.0,R,112 min,"Action & Adventure, Comedies",Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.
181,Movie,The Nutty Professor,Tom Shadyac,"Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller, Dave Chappelle, John Ales, Patricia Wilson, Jamal Mixon",United States,2021-09-01,1996.0,PG-13,95 min,"Comedies, Romantic Movies","After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance."
182,Movie,The Nutty Professor II: The Klumps,Peter Segal,"Eddie Murphy, Janet Jackson, Larry Miller, John Ales, Richard Gant, Anna Maria Horsford, Melinda McGraw, Jamal Mixon, Gabriel Williams, Chris Elliott",nan,2021-09-01,2000.0,PG-13,107 min,"Comedies, Romantic Movies","After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation."
183,TV Show,Turning Point: 9/11 and the War on Terror,nan,nan,nan,2021-09-01,2021.0,TV-14,1 Season,Docuseries,"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad."
184,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,"Martin Lawrence, James Earl Jones, Joy Bryant, Margaret Avery, Mike Epps, Mo'Nique, Cedric the Entertainer, Nicole Ari Parker, Michael Clarke Duncan, Louis C.K.",United States,2021-09-01,2008.0,PG-13,114 min,Comedies,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become."
185,Movie,In the Line of Fire,Wolfgang Petersen,"Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott, Gary Cole, Fred Thompson, John Mahoney, Gregory Alan Williams, Jim Curley, Sally Hughes",United States,2021-08-31,1993.0,R,129 min,"Action & Adventure, Classic Movies",A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.
186,TV Show,Sparking Joy,nan,Marie Kondo,United States,2021-08-31,2021.0,TV-PG,1 Season,Reality TV,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life â€” and shares her own world."
